"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/brand","","github.com/taucuya/ppo/internal/core/service/brand","","TestGetAllBrandsInCategory_AAA/successful_get_all_brands_in_category",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/product","","github.com/taucuya/ppo/internal/core/service/product","","TestDelete_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/user","","github.com/taucuya/ppo/internal/core/service/user","","TestGetByMail_AAA",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestReview_Create_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/product","","github.com/taucuya/ppo/internal/core/service/product","","TestGetByBrand_AAA/successful_get_by_brand",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","TestGetById/successful_get_brand_by_ID",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/worker","","github.com/taucuya/ppo/internal/core/service/worker","","TestGetAllWorkers_AAA/empty_list",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/basket","","github.com/taucuya/ppo/internal/core/service/basket","","TestUpdateItemAmount",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/product","","github.com/taucuya/ppo/internal/core/service/product","","TestGetByCategory_AAA/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","TestGetOrders/error_getting_orders",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","TestGetById/successful_get_order_by_id",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/auth","","github.com/taucuya/ppo/internal/core/service/auth","","TestCheckRoles_AAA/User_is_worker",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestWorker_Delete_AAA/fail_to_delete_non-existent_worker",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestFavourites_DeleteItem_AAA",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestFavourites_DeleteItem_AAA/fail_to_delete_non-existent_item",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","TestAcceptOrder/successful_accept_order",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","810","","github.com/taucuya/ppo/internal/core/service/auth","","github.com/taucuya/ppo/internal/core/service/auth","","TestCheckRoles_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestGetById",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","70","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestAuth_VerifyTokens_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestGetById/successful_get_by_id",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","140","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBasket_DeleteItem_AAA/successfully_delete_item_from_basket",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","70","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestReview_GetById_AAA/successfully_get_review_by_id",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/favourites","","github.com/taucuya/ppo/internal/repository/postgres/reps/favourites","","TestGetFIdByUId/successful_get_favourites_id_by_user_id",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","130","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBasket_Create_AAA/successful_basket_creation",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","github.com/taucuya/ppo/internal/repository/postgres/reps/review","","TestCreate",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","TestCheckAdmin/user_is_admin",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","10","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","github.com/taucuya/ppo/internal/repository/postgres/reps/user","","TestGetAllUsers",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","TestVerifyToken",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBasket_DeleteItem_AAA/fail_to_delete_item_from_non-existent_user",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/favourites","","github.com/taucuya/ppo/internal/core/service/favourites","","TestDeleteItem_AAA/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","TestCheckWorker/user_is_not_worker",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestGetByCategory/empty_category",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/auth","","github.com/taucuya/ppo/internal/core/service/auth","","TestVerifyTokens_AAA/refresh_token_invalid",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","TestDelete/brand_not_found",""
